file,case,category,flag,first_error
autograd_tests,test op vjps,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[]). No GPU kernel exists fo"
autograd_tests,test jvp from vjp,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[5,10]). No GPU kernel exist"
fft_tests,test fft basics,d,,""[omarchy] Abs dtype is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[4]). No GPU kernel exists for it; "
fft_tests,test real ffts,d,,""
fft_tests,test fftn,a,,""[omarchy] Abs dtype is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[3,4,2]). No GPU kernel exists for "
fft_tests,test fft grads,a,,""[omarchy] Select dtype is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[6]). No GPU kernel exists for i"
load_tests,test gguf,a,masked,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[5]). No GPU kernel exists for it; no "
ops_tests,test reduction ops,a,,""[omarchy] non-zero scalar fill is not implemented for the Omarchy Vulkan backend (dtype=uint64, shape=[3,3,3]). No GPU kernel exi"
ops_tests,test arithmetic unary ops,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[]). No GPU kernel exists fo"
ops_tests,test scatter types,a,,""[omarchy] Scatter dtype is not implemented for the Omarchy Vulkan backend (dtype=uint8, shape=[4,4]). No GPU kernel exists for it"
ops_tests,test complex ops,a,,""[omarchy] Abs dtype is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[3]). No GPU kernel exists for it; "
ops_tests,test power,a,,"[omarchy] Power dtype is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[]). No GPU kernel exists for it; "
ops_tests,test full_like,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=int16, shape=[3]). No GPU kernel exists "
ops_tests,test bitwise shift operations,a,,""[omarchy] LeftShift dtype is not implemented for the Omarchy Vulkan backend (dtype=int8, shape=[4]). No GPU kernel exists for it;"
random_tests,test random bits,a,,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[5]). No GPU kernel exists for it; no "
