file,case,category,flag,first_error
autograd_tests,test op vjps,a,,""[omarchy] GreaterEqual dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[]). No GPU kernel exists for i"
autograd_tests,test gather and take grads,a,,""[omarchy] matrix layout Take is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[4,1]). No GPU kernel exists f"
autograd_tests,test slice update jvp with one tangent,a,,""[omarchy] SliceUpdate reduce is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[4]). No GPU kernel exists f"
autograd_tests,test jvp from vjp,a,,""[omarchy] GreaterEqual dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[5,10]). No GPU kernel exists f"
autograd_tests,test complex gradients,a,,""[omarchy] Square dtype is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[]). No GPU kernel exists for it"
autograd_tests,test scan grads,a,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=uint32, shape=[5]). No GPU kernel exists"
autograd_tests,test grad dynamic slices,a,,""[omarchy] dynamic slice offset is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[1]). No GPU kernel exists f"
compile_tests,test compile random bits,a,,""[omarchy] RandomBits width is not implemented for the Omarchy Vulkan backend (dtype=uint16, shape=[32,32]). No GPU kernel exists "
creations_tests,test full,a,,""[omarchy] non-zero scalar fill is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[2]). No GPU kernel exists fo"
export_import_tests,test export primitives with state,a,,""[omarchy] non-suffix ArgPartition is not implemented for the Omarchy Vulkan backend (dtype=uint32, shape=[4,2]). No GPU kernel ex"
fft_tests,test fft basics,a,,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[4]). No GPU kernel exists for it; no "
fft_tests,test real ffts,a,masked,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[3]). No GPU kernel exists for it; no "
fft_tests,test fftn,a,,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[2,2]). No GPU kernel exists for it; n"
fft_tests,test fft vmap,a,masked,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[2,4]). No GPU kernel exists for it; n"
fft_tests,test fft grads,a,,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[10]). No GPU kernel exists for it; no"
linalg_tests,test SVD factorization,a,,""[omarchy] Arange dtype is not implemented for the Omarchy Vulkan backend (dtype=uint32, shape=[4]). No GPU kernel exists for it; "
load_tests,test gguf,a,,"[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=int8, shape=[5]). No GPU kernel exists fo"
load_tests,test gguf metadata,a,masked,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1]). No GPU kernel exists for it; no "
ops_tests,test slice update,a,,""[omarchy] negative stride copy is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[8]). No GPU kernel exists"
ops_tests,test slice update add,a,,""[omarchy] SliceUpdate reduce is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[8]). No GPU kernel exists f"
ops_tests,test dynamic slice,a,,""[omarchy] dynamic slice offset is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[1]). No GPU kernel exists f"
ops_tests,test dynamic slice update,a,,""[omarchy] dynamic slice offset is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[1]). No GPU kernel exists f"
ops_tests,test flip,a,,""[omarchy] Equal index span is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[4]). No GPU kernel exists for it"
